ArraySize,K,Comparisons
1,1,0
1,1/4,0
1,1/2,0
1,3/4,0
1,4/4,0
101,1,285
101,1/4,431
101,1/2,431
101,3/4,378
101,4/4,337
201,1,3003
201,1/4,989
201,1/2,871
201,3/4,1172
201,4/4,4702
301,1,968
301,1/4,1290
301,1/2,1328
301,3/4,1671
301,4/4,1687
401,1,18372
401,1/4,1667
401,1/2,1840
401,3/4,1534
401,4/4,1029
501,1,4971
501,1/4,2443
501,1/2,2250
501,3/4,2455
501,4/4,1450
601,1,10086
601,1/4,2870
601,1/2,2179
601,3/4,2919
601,4/4,5109
701,1,11210
701,1/4,3269
701,1/2,3623
701,3/4,3622
701,4/4,2211
801,1,49214
801,1/4,3240
801,1/2,4266
801,3/4,3404
801,4/4,1997
901,1,70115
901,1/4,3768
901,1/2,4220
901,3/4,3678
901,4/4,5196
1001,1,3781
1001,1/4,4639
1001,1/2,4665
1001,3/4,4854
1001,4/4,4894
1101,1,29695
1101,1/4,5199
1101,1/2,4939
1101,3/4,5350
1101,4/4,3173
1201,1,3316
1201,1/4,6005
1201,1/2,5449
1201,3/4,4493
1201,4/4,6821
1301,1,48461
1301,1/4,6027
1301,1/2,5836
1301,3/4,5859
1301,4/4,10374
1401,1,14482
1401,1/4,6260
1401,1/2,6169
1401,3/4,6587
1401,4/4,12375
1501,1,42264
1501,1/4,6529
1501,1/2,6369
1501,3/4,6410
1501,4/4,7623
1601,1,13986
1601,1/4,6893
1601,1/2,6492
1601,3/4,7549
1601,4/4,7427
1701,1,4276
1701,1/4,8363
1701,1/2,7487
1701,3/4,8702
1701,4/4,12549
1801,1,44477
1801,1/4,7632
1801,1/2,7336
1801,3/4,8054
1801,4/4,33556
1901,1,21943
1901,1/4,6955
1901,1/2,9281
1901,3/4,9029
1901,4/4,10350
2001,1,46826
2001,1/4,6972
2001,1/2,9209
2001,3/4,8192
2001,4/4,4696
2101,1,5966
2101,1/4,9530
2101,1/2,8672
2101,3/4,10194
2101,4/4,5567
2201,1,112545
2201,1/4,8595
2201,1/2,8400
2201,3/4,8072
2201,4/4,6079
2301,1,28348
2301,1/4,10284
2301,1/2,10508
2301,3/4,11907
2301,4/4,5644
2401,1,103582
2401,1/4,9817
2401,1/2,11395
2401,3/4,9756
2401,4/4,6145
2501,1,8058
2501,1/4,10579
2501,1/2,10814
2501,3/4,10320
2501,4/4,12916
2601,1,31616
2601,1/4,11167
2601,1/2,12330
2601,3/4,13169
2601,4/4,6179
2701,1,35869
2701,1/4,13609
2701,1/2,10877
2701,3/4,11889
2701,4/4,6716
2801,1,15184
2801,1/4,11139
2801,1/2,12340
2801,3/4,12256
2801,4/4,48539
2901,1,5942
2901,1/4,12225
2901,1/2,12661
2901,3/4,10345
2901,4/4,6307
3001,1,22416
3001,1/4,11816
3001,1/2,11513
3001,3/4,12711
3001,4/4,34757
3101,1,23540
3101,1/4,12380
3101,1/2,13646
3101,3/4,13602
3101,4/4,9095
3201,1,82293
3201,1/4,12686
3201,1/2,12654
3201,3/4,12545
3201,4/4,23106
3301,1,109137
3301,1/4,13676
3301,1/2,13376
3301,3/4,13615
3301,4/4,27094
3401,1,16568
3401,1/4,13121
3401,1/2,13675
3401,3/4,16335
3401,4/4,7851
3501,1,159136
3501,1/4,12194
3501,1/2,12146
3501,3/4,15057
3501,4/4,7419
3601,1,62820
3601,1/4,15314
3601,1/2,14307
3601,3/4,13961
3601,4/4,10412
3701,1,195075
3701,1/4,14164
3701,1/2,14280
3701,3/4,14337
3701,4/4,27606
3801,1,47123
3801,1/4,16173
3801,1/2,16420
3801,3/4,14486
3801,4/4,56412
3901,1,10327
3901,1/4,17161
3901,1/2,13019
3901,3/4,16108
3901,4/4,9282
4001,1,10484
4001,1/4,15069
4001,1/2,17012
4001,3/4,14575
4001,4/4,29471
4101,1,20099
4101,1/4,14389
4101,1/2,17322
4101,3/4,14974
4101,4/4,10762
4201,1,30315
4201,1/4,14595
4201,1/2,18001
4201,3/4,16421
4201,4/4,9713
4301,1,43006
4301,1/4,16471
4301,1/2,15593
4301,3/4,18386
4301,4/4,9573
4401,1,174100
4401,1/4,17027
4401,1/2,20120
4401,3/4,17780
4401,4/4,21302
4501,1,32619
4501,1/4,17507
4501,1/2,17583
4501,3/4,17444
4501,4/4,62702
4601,1,503008
4601,1/4,17118
4601,1/2,15980
4601,3/4,19340
4601,4/4,34141
4701,1,22580
4701,1/4,19979
4701,1/2,19779
4701,3/4,16245
4701,4/4,100451
4801,1,11805
4801,1/4,18098
4801,1/2,18842
4801,3/4,18702
4801,4/4,80589
4901,1,22599
4901,1/4,21014
4901,1/2,19507
4901,3/4,17488
4901,4/4,11282
5001,1,86969
5001,1/4,18636
5001,1/2,20412
5001,3/4,16967
5001,4/4,36693
5101,1,59729
5101,1/4,18913
5101,1/2,18620
5101,3/4,19459
5101,4/4,23407
5201,1,33518
5201,1/4,24931
5201,1/2,22153
5201,3/4,20424
5201,4/4,37601
5301,1,25311
5301,1/4,18427
5301,1/2,20979
5301,3/4,20666
5301,4/4,12882
5401,1,50741
