ArraySize,K,Comparisons
1,1,0
1,5,0
1,10,0
1,50,0
1,500,0
101,1,2408
101,5,221
101,10,248
101,50,660
101,500,0
201,1,2771
201,5,1129
201,10,451
201,50,977
201,500,0
301,1,791
301,5,1783
301,10,992
301,50,1270
301,500,0
401,1,1206
401,5,1330
401,10,977
401,50,1969
401,500,0
501,1,20840
501,5,3010
501,10,1496
501,50,1665
501,500,2592
601,1,13514
601,5,1430
601,10,3202
601,50,2207
601,500,2257
701,1,5766
701,5,1928
701,10,2055
701,50,2668
701,500,2982
801,1,22951
801,5,4822
801,10,2342
801,50,2826
801,500,3474
901,1,7780
901,5,2285
901,10,2352
901,50,3176
901,500,4333
1001,1,18816
1001,5,2437
1001,10,2223
1001,50,2345
1001,500,4742
1101,1,20600
1101,5,2915
1101,10,2723
1101,50,3155
1101,500,4886
1201,1,13503
1201,5,6176
1201,10,4307
1201,50,4193
1201,500,4860
1301,1,17600
1301,5,3110
1301,10,3450
1301,50,3500
1301,500,6158
1401,1,34226
1401,5,11205
1401,10,3832
1401,50,3870
1401,500,5863
1501,1,43149
1501,5,7220
1501,10,3844
1501,50,3922
1501,500,6562
1601,1,124889
1601,5,3758
1601,10,3798
1601,50,5440
1601,500,5810
1701,1,29432
1701,5,22403
1701,10,8578
1701,50,4197
1701,500,6504
1801,1,15061
1801,5,4717
1801,10,9324
1801,50,5188
1801,500,6994
1901,1,5713
1901,5,10054
1901,10,4322
1901,50,5809
1901,500,9356
2001,1,18812
2001,5,20629
2001,10,5290
2001,50,4953
2001,500,8010
2101,1,163411
2101,5,11555
2101,10,6307
2101,50,5341
2101,500,6839
2201,1,33592
2201,5,18155
2201,10,5258
2201,50,5541
2201,500,8783
2301,1,23824
2301,5,5543
2301,10,4969
2301,50,6912
2301,500,8178
2401,1,163831
2401,5,11603
2401,10,5482
2401,50,6172
2401,500,11128
2501,1,26135
2501,5,5455
2501,10,5846
2501,50,6642
2501,500,9855
2601,1,79190
2601,5,7249
2601,10,14757
2601,50,6692
2601,500,9069
2701,1,73985
2701,5,6931
2701,10,5863
2701,50,7563
2701,500,10945
2801,1,23114
2801,5,21752
2801,10,7239
2801,50,7711
2801,500,11134
2901,1,42299
2901,5,7532
2901,10,14437
2901,50,8895
2901,500,11223
3001,1,103405
3001,5,6397
3001,10,8256
3001,50,6042
3001,500,14048
3101,1,130443
3101,5,22684
3101,10,8709
3101,50,8876
3101,500,11517
3201,1,7517
3201,5,7654
3201,10,8578
3201,50,8153
3201,500,13700
3301,1,25796
3301,5,7962
3301,10,7442
3301,50,9806
3301,500,15209
3401,1,24742
3401,5,17174
3401,10,17242
3401,50,9142
3401,500,13778
3501,1,73746
3501,5,9390
3501,10,8041
3501,50,8803
3501,500,14369
3601,1,25827
3601,5,7886
3601,10,8580
3601,50,9767
3601,500,16850
3701,1,36026
3701,5,18117
3701,10,8511
3701,50,8811
3701,500,14998
3801,1,123733
3801,5,56975
3801,10,8336
3801,50,9782
3801,500,16230
3901,1,44881
3901,5,9257
3901,10,9556
3901,50,9851
3901,500,15287
4001,1,56120
4001,5,10842
4001,10,9674
4001,50,10326
4001,500,15567
4101,1,18258
4101,5,42465
4101,10,9531
4101,50,11513
4101,500,17285
4201,1,110151
4201,5,28498
4201,10,21652
4201,50,11680
4201,500,15887
4301,1,83185
4301,5,19741
4301,10,9936
4301,50,10336
4301,500,16295
4401,1,81585
4401,5,21220
4401,10,29396
4401,50,10018
4401,500,16422
4501,1,23113
4501,5,10585
4501,10,22682
4501,50,12066
4501,500,16260
4601,1,87157
4601,5,12136
4601,10,12149
4601,50,13523
4601,500,19350
4701,1,33079
4701,5,10530
4701,10,14250
4701,50,12310
4701,500,20137
4801,1,22318
4801,5,11518
4801,10,21834
4801,50,11858
4801,500,17971
4901,1,177087
4901,5,32773
4901,10,12001
4901,50,13277
4901,500,16679
5001,1,45257
5001,5,23957
5001,10,10587
5001,50,10653
5001,500,16221
5101,1,12965
5101,5,11958
5101,10,12936
5101,50,12590
5101,500,17830
5201,1,23093
5201,5,12073
5201,10,11792
5201,50,13379
5201,500,17155
5301,1,173826
5301,5,39015
5301,10,39355
5301,50,13348
5301,500,19661
5401,1,116598
5401,5,39669
5401,10,11832
5401,50,13024
5401,500,20758
5501,1,12894
5501,5,15765
5501,10,25912
5501,50,12687
5501,500,19596
5601,1,166705
5601,5,24954
5601,10,23937
5601,50,14025
5601,500,21092
5701,1,417925
5701,5,13540
5701,10,12860
5701,50,14020
5701,500,18407
5801,1,73848
5801,5,56382
5801,10,27501
5801,50,14368
5801,500,20135
5901,1,12338
5901,5,39281
5901,10,27412
5901,50,16697
5901,500,20805
6001,1,42643
6001,5,25738
6001,10,13258
6001,50,15016
6001,500,21521
6101,1,58824
6101,5,30281
6101,10,27900
6101,50,14122
6101,500,20444
6201,1,159895
6201,5,30163
6201,10,15614
6201,50,16233
6201,500,21396
6301,1,62823
6301,5,12440
6301,10,14664
6301,50,15897
6301,500,22385
6401,1,15497
6401,5,13888
6401,10,14299
6401,50,13206
6401,500,21065
6501,1,15414
6501,5,12259
6501,10,13461
6501,50,15965
6501,500,21064
6601,1,360291
6601,5,15057
